Date,Demand
18-06-01,14291
18-06-01,13893
18-06-01,13633
18-06-01,13656
18-06-01,13721
18-06-01,14720
18-06-01,16309
18-06-01,17154
18-06-01,17903
18-06-01,18428
18-06-01,18808
18-06-01,19073
18-06-01,19352
18-06-01,19391
18-06-01,19519
18-06-01,19837
18-06-01,19973
18-06-01,19527
18-06-01,19135
18-06-01,18436
18-06-01,17735
18-06-01,16489
18-06-01,15071
18-06-01,13737
18-06-02,13003
18-06-02,12411
18-06-02,12021
18-06-02,11775
18-06-02,11781
18-06-02,12022
18-06-02,12610
18-06-02,13249
18-06-02,13554
18-06-02,13761
18-06-02,13873
18-06-02,13940
18-06-02,13930
18-06-02,13906
18-06-02,14067
18-06-02,14515
18-06-02,15159
18-06-02,15517
18-06-02,15761
18-06-02,15492
18-06-02,15159
18-06-02,14536
18-06-02,13683
18-06-02,12651
18-06-03,12034
18-06-03,11521
18-06-03,11296
18-06-03,11147
18-06-03,11063
18-06-03,11140
18-06-03,11597
18-06-03,12136
18-06-03,12718
18-06-03,13531
18-06-03,14026
18-06-03,14310
18-06-03,14583
18-06-03,14645
18-06-03,14862
18-06-03,15251
18-06-03,15718
18-06-03,15547
18-06-03,15483
18-06-03,15541
18-06-03,15316
18-06-03,14252
18-06-03,13152
18-06-03,12460
18-06-04,12099
18-06-04,11703
18-06-04,11587
18-06-04,11590
18-06-04,11939
18-06-04,12944
18-06-04,14317
18-06-04,14864
18-06-04,15037
18-06-04,15134
18-06-04,15200
18-06-04,14968
18-06-04,15053
18-06-04,14729
18-06-04,14697
18-06-04,14813
18-06-04,15022
18-06-04,15300
18-06-04,15569
18-06-04,15455
18-06-04,15711
18-06-04,14705
18-06-04,13367
18-06-04,12410
18-06-05,11796
18-06-05,11506
18-06-05,11395
18-06-05,11556
18-06-05,11852
18-06-05,12839
18-06-05,14057
18-06-05,14441
18-06-05,14475
18-06-05,14762
18-06-05,14660
18-06-05,14665
18-06-05,14770
18-06-05,14634
18-06-05,14575
18-06-05,14841
18-06-05,14975
18-06-05,14923
18-06-05,15062
18-06-05,15254
18-06-05,15402
18-06-05,14459
18-06-05,13356
18-06-05,12478
18-06-06,12029
18-06-06,11743
18-06-06,11659
18-06-06,11641
18-06-06,11962
18-06-06,12999
18-06-06,14289
18-06-06,14713
18-06-06,14782
18-06-06,14836
18-06-06,14742
18-06-06,14645
18-06-06,14559
18-06-06,14477
18-06-06,14533
18-06-06,14775
18-06-06,14978
18-06-06,15219
18-06-06,15300
18-06-06,15560
18-06-06,15748
18-06-06,14742
18-06-06,13514
18-06-06,12622
18-06-07,11920
18-06-07,11711
18-06-07,11592
18-06-07,11623
18-06-07,11997
18-06-07,13063
18-06-07,14344
18-06-07,14850
18-06-07,14723
18-06-07,14451
18-06-07,14425
18-06-07,14545
18-06-07,14793
18-06-07,14988
18-06-07,15222
18-06-07,15438
18-06-07,15646
18-06-07,15805
18-06-07,16218
18-06-07,16366
18-06-07,16467
18-06-07,15582
18-06-07,14356
18-06-07,13305
18-06-08,12484
18-06-08,12126
18-06-08,12027
18-06-08,12007
18-06-08,12282
18-06-08,13162
18-06-08,14474
18-06-08,14956
18-06-08,15069
18-06-08,15143
18-06-08,15237
18-06-08,15290
18-06-08,15428
18-06-08,15487
18-06-08,15463
18-06-08,15804
18-06-08,16412
18-06-08,16517
18-06-08,16734
18-06-08,16290
18-06-08,16158
18-06-08,15254
18-06-08,14004
18-06-08,13050
18-06-09,12231
18-06-09,11770
18-06-09,11530
18-06-09,11225
18-06-09,11353
18-06-09,11480
18-06-09,12110
18-06-09,12923
18-06-09,13769
18-06-09,13962
18-06-09,14208
18-06-09,14242
18-06-09,14222
18-06-09,14222
18-06-09,14253
18-06-09,14410
18-06-09,14709
18-06-09,14805
18-06-09,14811
18-06-09,14773
18-06-09,14710
18-06-09,13937
18-06-09,13072
18-06-09,12085
18-06-10,11578
18-06-10,11132
18-06-10,11042
18-06-10,10895
18-06-10,10698
18-06-10,10760
18-06-10,11268
18-06-10,11787
18-06-10,12423
18-06-10,12760
18-06-10,12723
18-06-10,12799
18-06-10,12907
18-06-10,13024
18-06-10,13317
18-06-10,13810
18-06-10,14340
18-06-10,14676
18-06-10,14821
18-06-10,14965
18-06-10,14880
18-06-10,14045
18-06-10,12952
18-06-10,12169
18-06-11,11696
18-06-11,11437
18-06-11,11241
18-06-11,11280
18-06-11,11583
18-06-11,12606
18-06-11,14033
18-06-11,14364
18-06-11,14343
18-06-11,14389
18-06-11,14530
18-06-11,14591
18-06-11,14762
18-06-11,14889
18-06-11,15148
18-06-11,15871
18-06-11,16579
18-06-11,16767
18-06-11,17122
18-06-11,17069
18-06-11,16513
18-06-11,15440
18-06-11,13799
18-06-11,12881
18-06-12,12269
18-06-12,12037
18-06-12,11860
18-06-12,11858
18-06-12,11983
18-06-12,13055
18-06-12,14687
18-06-12,15047
18-06-12,15112
18-06-12,15386
18-06-12,15589
18-06-12,15757
18-06-12,16221
18-06-12,16613
18-06-12,16996
18-06-12,17786
18-06-12,18303
18-06-12,18300
18-06-12,18249
18-06-12,18058
18-06-12,17912
18-06-12,16792
18-06-12,15289
18-06-12,14319
18-06-13,13681
18-06-13,13131
18-06-13,12953
18-06-13,12980
18-06-13,13335
18-06-13,14550
18-06-13,16043
18-06-13,16686
18-06-13,16870
18-06-13,17297
18-06-13,17307
18-06-13,17735
18-06-13,18125
18-06-13,18554
18-06-13,18738
18-06-13,18235
18-06-13,18258
18-06-13,18040
18-06-13,17696
18-06-13,17390
18-06-13,17042
18-06-13,15801
18-06-13,14373
18-06-13,13296
18-06-14,12482
18-06-14,11999
18-06-14,11951
18-06-14,11944
18-06-14,12299
18-06-14,13248
18-06-14,14699
18-06-14,15340
18-06-14,15547
18-06-14,15784
18-06-14,15691
18-06-14,15512
18-06-14,15539
18-06-14,15700
18-06-14,15980
18-06-14,16636
18-06-14,17187
18-06-14,17362
18-06-14,17464
18-06-14,17372
18-06-14,16926
18-06-14,15952
18-06-14,14507
18-06-14,13403
18-06-15,12707
18-06-15,12248
18-06-15,12020
18-06-15,12025
18-06-15,12309
18-06-15,13345
18-06-15,14737
18-06-15,15183
18-06-15,15417
18-06-15,15606
18-06-15,15632
18-06-15,15741
18-06-15,16033
18-06-15,16307
18-06-15,16458
18-06-15,16884
18-06-15,17427
18-06-15,17585
18-06-15,17599
18-06-15,17119
18-06-15,16641
18-06-15,15634
18-06-15,14449
18-06-15,13418
18-06-16,12579
18-06-16,12169
18-06-16,11721
18-06-16,11479
18-06-16,11521
18-06-16,11818
18-06-16,12562
18-06-16,13300
18-06-16,14198
18-06-16,14821
18-06-16,15306
18-06-16,15612
18-06-16,15789
18-06-16,15962
18-06-16,16239
18-06-16,16874
18-06-16,17476
18-06-16,17787
18-06-16,17651
18-06-16,17263
18-06-16,17137
18-06-16,16529
18-06-16,15364
18-06-16,14162
18-06-17,13200
18-06-17,12641
18-06-17,12215
18-06-17,11929
18-06-17,11603
18-06-17,11737
18-06-17,12500
18-06-17,13787
18-06-17,15303
18-06-17,16159
18-06-17,17040
18-06-17,17719
18-06-17,18160
18-06-17,18686
18-06-17,19254
18-06-17,19741
18-06-17,20027
18-06-17,20154
18-06-17,20000
18-06-17,19864
18-06-17,19956
18-06-17,19129
18-06-17,17813
18-06-17,16595
18-06-18,15572
18-06-18,15196
18-06-18,14618
18-06-18,14652
18-06-18,14925
18-06-18,16022
18-06-18,18202
18-06-18,19874
18-06-18,20718
18-06-18,21369
18-06-18,21281
18-06-18,20521
18-06-18,20805
18-06-18,20720
18-06-18,20817
18-06-18,20659
18-06-18,20743
18-06-18,20656
18-06-18,20502
18-06-18,20466
18-06-18,20142
18-06-18,18690
18-06-18,16925
18-06-18,15493
18-06-19,14438
18-06-19,13650
18-06-19,13140
18-06-19,13069
18-06-19,13303
18-06-19,14242
18-06-19,15768
18-06-19,16224
18-06-19,16199
18-06-19,16377
18-06-19,16613
18-06-19,16857
18-06-19,17105
18-06-19,17408
18-06-19,17813
18-06-19,18261
18-06-19,18457
18-06-19,18265
18-06-19,18016
18-06-19,17776
18-06-19,17626
18-06-19,16721
18-06-19,15229
18-06-19,14062
18-06-20,13307
18-06-20,12925
18-06-20,12630
18-06-20,12476
18-06-20,12837
18-06-20,13844
18-06-20,15183
18-06-20,15749
18-06-20,16087
18-06-20,16068
18-06-20,16110
18-06-20,16197
18-06-20,16504
18-06-20,16646
18-06-20,16851
18-06-20,17436
18-06-20,18024
18-06-20,18248
18-06-20,18317
18-06-20,17920
18-06-20,17673
18-06-20,16671
18-06-20,15299
18-06-20,14179
18-06-21,13367
18-06-21,12699
18-06-21,12449
18-06-21,12415
18-06-21,12626
18-06-21,13520
18-06-21,14847
18-06-21,15330
18-06-21,15437
18-06-21,15715
18-06-21,15917
18-06-21,15869
18-06-21,16037
18-06-21,16088
18-06-21,16324
18-06-21,16874
18-06-21,17300
18-06-21,17583
18-06-21,17613
18-06-21,17235
18-06-21,16822
18-06-21,15823
18-06-21,14410
18-06-21,13364
18-06-22,12607
18-06-22,12072
18-06-22,11884
18-06-22,11908
18-06-22,12147
18-06-22,13079
18-06-22,14383
18-06-22,14838
18-06-22,15073
18-06-22,15151
18-06-22,15217
18-06-22,15269
18-06-22,15548
18-06-22,15617
18-06-22,15719
18-06-22,15984
18-06-22,16145
18-06-22,16203
18-06-22,16052
18-06-22,15865
18-06-22,16035
18-06-22,15291
18-06-22,14150
18-06-22,13003
18-06-23,12482
18-06-23,12173
18-06-23,11923
18-06-23,11958
18-06-23,11930
18-06-23,12232
18-06-23,12903
18-06-23,13834
18-06-23,14583
18-06-23,15188
18-06-23,15361
18-06-23,15398
18-06-23,15350
18-06-23,15218
18-06-23,15163
18-06-23,15270
18-06-23,15526
18-06-23,15475
18-06-23,15195
18-06-23,15138
18-06-23,15245
18-06-23,14653
18-06-23,13666
18-06-23,12758
18-06-24,12231
18-06-24,11855
18-06-24,11631
18-06-24,11546
18-06-24,11489
18-06-24,11722
18-06-24,12214
18-06-24,12994
18-06-24,13744
18-06-24,14340
18-06-24,14665
18-06-24,14771
18-06-24,14812
18-06-24,14670
18-06-24,14710
18-06-24,14835
18-06-24,15093
18-06-24,15314
18-06-24,15302
18-06-24,15437
18-06-24,15478
18-06-24,14870
18-06-24,13737
18-06-24,12786
18-06-25,12168
18-06-25,11830
18-06-25,11675
18-06-25,11740
18-06-25,12071
18-06-25,12969
18-06-25,14338
18-06-25,14624
18-06-25,14709
18-06-25,14808
18-06-25,15010
18-06-25,15003
18-06-25,15179
