Date,HOEP
18-04-01,0
18-04-01,0
18-04-01,0
18-04-01,3.42
18-04-01,12.19
18-04-01,18.93
18-04-01,9.62
18-04-01,5.93
18-04-01,5.91
18-04-01,6.49
18-04-01,13.38
18-04-01,13.34
18-04-01,13.32
18-04-01,13.32
18-04-01,9.01
18-04-01,8.98
18-04-01,20.99
18-04-01,15.79
18-04-01,22.22
18-04-01,244.85
18-04-01,33.34
18-04-01,21.56
18-04-01,24.79
18-04-01,25.64
18-04-02,22.68
18-04-02,35.01
18-04-02,35.19
18-04-02,30.7
18-04-02,20.16
18-04-02,36.37
18-04-02,36.35
18-04-02,36.23
18-04-02,35.25
18-04-02,34.37
18-04-02,41.88
18-04-02,36.83
18-04-02,33.58
18-04-02,34.25
18-04-02,31.43
18-04-02,30.3
18-04-02,33.52
18-04-02,32.58
18-04-02,36.07
18-04-02,37.02
18-04-02,34.41
18-04-02,32.47
18-04-02,32.06
18-04-02,23.62
18-04-03,24.53
18-04-03,16.85
18-04-03,14.35
18-04-03,14.35
18-04-03,18.55
18-04-03,34.92
18-04-03,36.93
18-04-03,79.05
18-04-03,35.86
18-04-03,35.32
18-04-03,18.8
18-04-03,14.37
18-04-03,33.15
18-04-03,103.35
18-04-03,34.82
18-04-03,31.95
18-04-03,33.15
18-04-03,24
18-04-03,37.29
18-04-03,67.08
18-04-03,59.79
18-04-03,41.27
18-04-03,63.13
18-04-03,14.57
18-04-04,15.18
18-04-04,14.36
18-04-04,0.93
18-04-04,0
18-04-04,0
18-04-04,3.34
18-04-04,11.57
18-04-04,14.34
18-04-04,15.2
18-04-04,39.77
18-04-04,58.12
18-04-04,0.43
18-04-04,0
18-04-04,0.95
18-04-04,5.99
18-04-04,9.18
18-04-04,0.77
18-04-04,0
18-04-04,25.9
18-04-04,26.03
18-04-04,34.8
18-04-04,31.15
18-04-04,45.02
18-04-04,13.34
18-04-05,13.35
18-04-05,13.38
18-04-05,19.2
18-04-05,21.83
18-04-05,48.94
18-04-05,48.98
18-04-05,68.14
18-04-05,43.77
18-04-05,40.26
18-04-05,38.06
18-04-05,30.12
18-04-05,34.26
18-04-05,40.46
18-04-05,40.49
18-04-05,17.62
18-04-05,20.58
18-04-05,24.26
18-04-05,35.27
18-04-05,40.48
18-04-05,46.22
18-04-05,41.57
18-04-05,36.12
18-04-05,28.73
18-04-05,21.76
18-04-06,13.36
18-04-06,39.8
18-04-06,27.78
18-04-06,37.3
18-04-06,21.3
18-04-06,41.4
18-04-06,42.67
18-04-06,42.9
18-04-06,42.63
18-04-06,39.99
18-04-06,36.92
18-04-06,17.43
18-04-06,33.33
18-04-06,28.97
18-04-06,35.15
18-04-06,15.57
18-04-06,13.36
18-04-06,7.46
18-04-06,6.64
18-04-06,20.74
18-04-06,20.57
18-04-06,26.53
18-04-06,9.84
18-04-06,7.97
18-04-07,14.31
18-04-07,8.79
18-04-07,14.33
18-04-07,14.36
18-04-07,61.63
18-04-07,47.18
18-04-07,30.76
18-04-07,13.36
18-04-07,17.28
18-04-07,30.78
18-04-07,63.37
18-04-07,49.02
18-04-07,31.47
18-04-07,27.69
18-04-07,23.66
18-04-07,54.64
18-04-07,36.95
18-04-07,41.47
18-04-07,35.61
18-04-07,31.68
18-04-07,38.93
18-04-07,35.66
18-04-07,41.04
18-04-07,23.69
18-04-08,23.8
18-04-08,56.85
18-04-08,39.56
18-04-08,12.24
18-04-08,10.47
18-04-08,16.64
18-04-08,48.07
18-04-08,47.72
18-04-08,25.91
18-04-08,31.85
18-04-08,64.27
18-04-08,22.69
18-04-08,14.54
18-04-08,12.2
18-04-08,14.7
18-04-08,12.93
18-04-08,20.58
18-04-08,34.12
18-04-08,36.74
18-04-08,41.11
18-04-08,37.1
18-04-08,28.72
18-04-08,23.48
18-04-08,52.43
18-04-09,37.76
18-04-09,38.27
18-04-09,34.48
18-04-09,32.61
18-04-09,39.32
18-04-09,43.9
18-04-09,60.04
18-04-09,52
18-04-09,46.55
18-04-09,47.76
18-04-09,45.96
18-04-09,39.37
18-04-09,42.52
18-04-09,35.66
18-04-09,32.67
18-04-09,49.42
18-04-09,89.8
18-04-09,66.05
18-04-09,48.78
18-04-09,44.17
18-04-09,55.17
18-04-09,50.2
18-04-09,43.39
18-04-09,41.36
18-04-10,40.77
18-04-10,39.66
18-04-10,37.6
18-04-10,22.3
18-04-10,24.16
18-04-10,42.96
18-04-10,50.21
18-04-10,50.92
18-04-10,49.16
18-04-10,44.86
18-04-10,48.43
18-04-10,63.22
18-04-10,49.87
18-04-10,31.3
18-04-10,31.04
18-04-10,33.95
18-04-10,34.08
18-04-10,35.52
18-04-10,36.59
18-04-10,34.52
18-04-10,23.02
18-04-10,10.3
18-04-10,10.3
18-04-10,14.37
18-04-11,0.48
18-04-11,3.02
18-04-11,12.06
18-04-11,4.15
18-04-11,12.82
18-04-11,30.04
18-04-11,39.04
18-04-11,38.78
18-04-11,20.42
18-04-11,13.34
18-04-11,139.39
18-04-11,24.73
18-04-11,13.36
18-04-11,25.6
18-04-11,37.66
18-04-11,37.87
18-04-11,37.21
18-04-11,32.09
18-04-11,33.89
18-04-11,48.92
18-04-11,37.65
18-04-11,28.91
18-04-11,27.71
18-04-11,47.1
18-04-12,18.81
18-04-12,15.15
18-04-12,26.08
18-04-12,20.31
18-04-12,13.3
18-04-12,12.71
18-04-12,24.34
18-04-12,24.64
18-04-12,45.06
18-04-12,19.76
18-04-12,56.63
18-04-12,14.85
18-04-12,13.34
18-04-12,27.66
18-04-12,43.81
18-04-12,27.18
18-04-12,27.64
18-04-12,14.35
18-04-12,58.74
18-04-12,104.92
18-04-12,14.83
18-04-12,25.78
18-04-12,31.42
18-04-12,88.46
18-04-13,65.74
18-04-13,50.95
18-04-13,11.65
18-04-13,3.52
18-04-13,9.63
18-04-13,30.97
18-04-13,35.93
18-04-13,36.47
18-04-13,34.59
18-04-13,36.15
18-04-13,13.37
18-04-13,28.78
18-04-13,32.18
18-04-13,33.52
18-04-13,53.54
18-04-13,52.24
18-04-13,13.38
18-04-13,23.06
18-04-13,28.16
18-04-13,26.43
18-04-13,21.12
18-04-13,22.23
18-04-13,24.71
18-04-13,21
18-04-14,13.84
18-04-14,9.72
18-04-14,0
18-04-14,0
18-04-14,0
18-04-14,0
18-04-14,8.71
18-04-14,15.5
18-04-14,25
18-04-14,48.73
18-04-14,33.07
18-04-14,71.62
18-04-14,26.23
18-04-14,14.31
18-04-14,23.56
18-04-14,58.62
18-04-14,63.65
18-04-14,47.18
18-04-14,8.96
18-04-14,28.68
18-04-14,45.8
18-04-14,52.7
18-04-14,23.6
18-04-14,11.95
18-04-15,13.36
18-04-15,7.58
18-04-15,4.76
18-04-15,0
18-04-15,5.57
18-04-15,79.88
18-04-15,103.22
18-04-15,41.68
18-04-15,46.16
18-04-15,34.03
18-04-15,16.01
18-04-15,48.29
18-04-15,53.85
18-04-15,34.77
18-04-15,33.24
18-04-15,60.83
18-04-15,78.96
18-04-15,30.56
18-04-15,72.79
18-04-15,46.27
18-04-15,32.13
18-04-15,32.02
18-04-15,169.37
18-04-15,148.9
18-04-16,23.31
18-04-16,120.32
18-04-16,57.03
18-04-16,100.87
18-04-16,27.68
18-04-16,33.39
18-04-16,35.53
18-04-16,35.32
18-04-16,45.13
18-04-16,90.51
18-04-16,50.83
18-04-16,45.08
18-04-16,40.2
18-04-16,45.06
18-04-16,35.9
18-04-16,35.52
18-04-16,35.75
18-04-16,35.47
18-04-16,35.75
18-04-16,36.42
18-04-16,37.4
18-04-16,25.3
18-04-16,0.97
18-04-16,0
18-04-17,3.96
18-04-17,0
18-04-17,11.55
18-04-17,0.08
18-04-17,6.97
18-04-17,15.47
18-04-17,50.13
18-04-17,49.44
18-04-17,45.01
18-04-17,44.09
18-04-17,44.02
18-04-17,30.14
18-04-17,20.21
18-04-17,13.34
18-04-17,13.35
18-04-17,42.27
18-04-17,44.06
18-04-17,44.69
18-04-17,44.39
18-04-17,89.51
18-04-17,43.16
18-04-17,27.23
18-04-17,34.49
18-04-17,16.15
18-04-18,91.95
18-04-18,27.53
18-04-18,9.66
18-04-18,7.31
18-04-18,25.12
18-04-18,64
18-04-18,138.32
18-04-18,117.64
18-04-18,56.64
18-04-18,49.25
18-04-18,47.31
18-04-18,48.54
18-04-18,47.32
18-04-18,47.25
18-04-18,55.2
18-04-18,76.3
18-04-18,47.45
18-04-18,51.82
18-04-18,72.9
18-04-18,94.94
18-04-18,54.84
18-04-18,53.57
18-04-18,23.46
18-04-18,40.69
18-04-19,14.41
18-04-19,17.05
18-04-19,32.89
18-04-19,11.14
18-04-19,28.17
18-04-19,64.04
18-04-19,90.13
18-04-19,45.41
18-04-19,53.51
18-04-19,49.85
18-04-19,39.13
18-04-19,14.36
18-04-19,91.79
18-04-19,89.03
18-04-19,14.4
18-04-19,31.71
18-04-19,23.86
18-04-19,16.46
18-04-19,43.02
18-04-19,68.46
18-04-19,59.88
18-04-19,42.98
18-04-19,32.55
18-04-19,17.13
18-04-20,24.78
18-04-20,31.33
18-04-20,34.47
18-04-20,43.98
18-04-20,39.19
18-04-20,50.26
18-04-20,50.62
18-04-20,62.16
18-04-20,44.1
18-04-20,45.83
18-04-20,43.26
18-04-20,40.77
18-04-20,35.71
18-04-20,26.37
18-04-20,25
18-04-20,27.49
18-04-20,41.31
18-04-20,23.18
18-04-20,26.88
18-04-20,43.57
18-04-20,46.23
18-04-20,45.34
18-04-20,44.08
18-04-20,51.79
18-04-21,75.44
18-04-21,101.62
18-04-21,99.85
18-04-21,55.41
18-04-21,31.1
18-04-21,32.74
18-04-21,14.34
18-04-21,14.36
18-04-21,36.21
18-04-21,42.51
18-04-21,34.2
18-04-21,28.31
18-04-21,34.79
18-04-21,26.6
18-04-21,34.83
18-04-21,26.99
18-04-21,28.87
18-04-21,12.74
18-04-21,13.34
18-04-21,40.29
18-04-21,30.99
18-04-21,24.81
18-04-21,50.72
18-04-21,50.7
18-04-22,13.38
18-04-22,13.34
18-04-22,13.38
18-04-22,19.46
18-04-22,25.08
18-04-22,20.86
18-04-22,13.35
18-04-22,9.55
18-04-22,13.34
18-04-22,12.01
18-04-22,13.34
18-04-22,25.41
18-04-22,8.4
18-04-22,6.14
18-04-22,5.87
18-04-22,6.56
18-04-22,6.06
18-04-22,8.05
18-04-22,10.91
18-04-22,38.96
18-04-22,19.47
18-04-22,5.74
18-04-22,9.38
18-04-22,8.24
18-04-23,0
18-04-23,0
18-04-23,0
18-04-23,0
18-04-23,3.17
18-04-23,5.76
18-04-23,1.98
18-04-23,13.17
18-04-23,15.99
18-04-23,12.44
18-04-23,13.19
18-04-23,8.6
18-04-23,5.58
18-04-23,9.17
18-04-23,9.87
18-04-23,28.64
18-04-23,31.37
18-04-23,33.12
18-04-23,24.44
18-04-23,32.28
18-04-23,27.89
18-04-23,33.99
18-04-23,25.08
18-04-23,30.49
18-04-24,0.38
18-04-24,4.68
18-04-24,6.94
18-04-24,4.16
18-04-24,4.75
18-04-24,9.16
18-04-24,16.04
18-04-24,22.6
18-04-24,23.47
18-04-24,33.95
18-04-24,25.71
18-04-24,34.33
18-04-24,33.9
18-04-24,30.37
18-04-24,16.75
18-04-24,42.89
18-04-24,46.2
18-04-24,34.07
18-04-24,22.92
18-04-24,27.11
18-04-24,10.86
18-04-24,18.23
18-04-24,20.52
18-04-24,13.36
18-04-25,5.39
18-04-25,1.51
18-04-25,8.18
18-04-25,6.53
18-04-25,7.62
18-04-25,32.61
18-04-25,37.22
18-04-25,34.6
18-04-25,19.92
18-04-25,33.59
18-04-25,27.19
18-04-25,21.51
18-04-25,11.57
18-04-25,3.73
18-04-25,12.61
18-04-25,17.2
18-04-25,23.19
18-04-25,19.98
18-04-25,26.73
18-04-25,13.33
18-04-25,13.34
18-04-25,61.4
18-04-25,30.12
18-04-25,18.53
18-04-26,13.35
18-04-26,13.32
18-04-26,13.33
18-04-26,13.35
18-04-26,35.53
18-04-26,40.98
18-04-26,97.96
18-04-26,37.18
18-04-26,66.05
18-04-26,20.87
18-04-26,13.33
18-04-26,13.35
18-04-26,12.12
18-04-26,10.9
18-04-26,5.87
18-04-26,22.65
18-04-26,26.03
18-04-26,22.78
18-04-26,14.54
18-04-26,26.12
18-04-26,13.97
18-04-26,14.35
18-04-26,9.67
18-04-26,4.59
18-04-27,5.72
18-04-27,7.75
18-04-27,13.33
18-04-27,13.32
18-04-27,16.04
18-04-27,19.59
18-04-27,12.74
18-04-27,15.97
18-04-27,25.9
18-04-27,29.99
18-04-27,13.37
18-04-27,29.2
18-04-27,4.78
18-04-27,16.3
18-04-27,18.09
18-04-27,16.7
18-04-27,49.5
18-04-27,13.37
18-04-27,13.37
18-04-27,9.12
18-04-27,7.81
18-04-27,3.16
18-04-27,2.46
18-04-27,8.11
18-04-28,1.63
18-04-28,1.18
18-04-28,0
18-04-28,0
18-04-28,0
18-04-28,0
18-04-28,2.45
18-04-28,7.16
18-04-28,5.48
18-04-28,5.88
18-04-28,5.89
18-04-28,6.72
18-04-28,5.1
18-04-28,3.99
18-04-28,5.93
18-04-28,9.71
18-04-28,13.34
18-04-28,6.5
18-04-28,5.76
18-04-28,10.87
18-04-28,8.19
18-04-28,2.24
18-04-28,8.27
18-04-28,2.72
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,4.3
18-04-29,5.83
18-04-29,6.05
18-04-29,5.8
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,0
18-04-29,1.41
18-04-29,4.48
18-04-29,9.07
18-04-29,10.88
18-04-29,40.54
18-04-29,13.35
18-04-29,13.65
18-04-29,7.19
18-04-29,4.43
18-04-30,0
18-04-30,2.14
18-04-30,0
18-04-30,0
18-04-30,4.15
18-04-30,3.45
18-04-30,11.5
18-04-30,8.53
18-04-30,31.29
18-04-30,25.68
18-04-30,5.75
18-04-30,5.91
18-04-30,3.46
18-04-30,1.75
18-04-30,-0.03
18-04-30,0
18-04-30,5.81
18-04-30,5.39
18-04-30,5.8
18-04-30,7.18
18-04-30,5.91
18-04-30,1.86
18-04-30,0
18-04-30,-0.05
18-05-01,-3
18-05-01,-3
18-05-01,-3
18-05-01,-3
18-05-01,-0.82
18-05-01,0
18-05-01,3.77
18-05-01,9.24
18-05-01,6.48
18-05-01,5.81
18-05-01,0.86
18-05-01,0
18-05-01,0
18-05-01,0
18-05-01,0
18-05-01,0
18-05-01,0.38
18-05-01,0
18-05-01,0
18-05-01,0.39
18-05-01,1.94
18-05-01,0
18-05-01,-0.48
18-05-01,-3
18-05-02,-3
18-05-02,-4.01
18-05-02,-4
18-05-02,-3.58
18-05-02,-2.53
18-05-02,-0.03
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,0
18-05-02,10.25
18-05-02,8.35
18-05-02,9.61
18-05-02,39.3
18-05-02,62.37
18-05-02,9.36
18-05-02,8.03
18-05-02,1.94
18-05-02,0
18-05-03,-0.01
18-05-03,-1.65
18-05-03,-3
18-05-03,-3
18-05-03,-0.67
18-05-03,-0.02
18-05-03,8.6
18-05-03,7.75
18-05-03,6.2
18-05-03,20.59
18-05-03,29.61
18-05-03,4.44
18-05-03,0
18-05-03,0
18-05-03,0
18-05-03,4.41
18-05-03,24.84
18-05-03,5.93
18-05-03,21.09
18-05-03,19.98
18-05-03,30.02
18-05-03,7.68
18-05-03,17.23
18-05-03,13.11
18-05-04,3.91
18-05-04,0.76
18-05-04,-0.69
18-05-04,-3
18-05-04,-0.6
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,0
18-05-04,-0.48
18-05-04,-3
18-05-04,-3
18-05-04,-0.3
18-05-04,6.55
18-05-04,1.83
18-05-04,1.62
18-05-04,-3.53
18-05-05,-4.11
18-05-05,-4.12
18-05-05,-4.19
18-05-05,-4.1
18-05-05,-4.07
18-05-05,-4.11
18-05-05,-4.04
18-05-05,-3.08
18-05-05,-3
18-05-05,-3
18-05-05,-3
18-05-05,-3
18-05-05,-3
18-05-05,-3
18-05-05,-3
18-05-05,-0.78
18-05-05,1.46
18-05-05,5.87
18-05-05,5.91
18-05-05,11.89
18-05-05,6.07
18-05-05,4.32
18-05-05,-1.64
18-05-05,-2.88
18-05-06,-3.34
18-05-06,-4.08
18-05-06,-4.17
18-05-06,-4.18
18-05-06,-4.1
18-05-06,-4.09
18-05-06,-3.85
18-05-06,4.38
18-05-06,5.96
18-05-06,12.87
18-05-06,213.21
18-05-06,33.77
18-05-06,8.45
18-05-06,4.25
18-05-06,0
18-05-06,5.88
18-05-06,5.91
18-05-06,6
18-05-06,5.96
18-05-06,8.14
18-05-06,10.16
18-05-06,45.58
18-05-06,21.29
18-05-06,39.22
18-05-07,10.51
18-05-07,2.32
18-05-07,0
18-05-07,0
18-05-07,0
18-05-07,0.97
18-05-07,6.41
18-05-07,10
18-05-07,22.15
18-05-07,30.91
18-05-07,31.83
18-05-07,6.48
18-05-07,9.36
18-05-07,14.37
18-05-07,14.22
18-05-07,14.23
18-05-07,24.63
18-05-07,39.59
18-05-07,38.7
18-05-07,66.81
18-05-07,46.14
18-05-07,43.48
18-05-07,25.64
18-05-07,11.57
18-05-08,11.52
18-05-08,8.66
18-05-08,5.88
18-05-08,5.85
18-05-08,3.43
18-05-08,7
18-05-08,15.65
18-05-08,29.09
18-05-08,15.33
18-05-08,22.58
18-05-08,30.5
18-05-08,26.47
18-05-08,42.96
18-05-08,17.69
18-05-08,10.52
18-05-08,17.05
18-05-08,36.75
18-05-08,45.53
18-05-08,34.02
18-05-08,38.2
18-05-08,22.42
18-05-08,11.35
18-05-08,10.79
18-05-08,0.44
18-05-09,0
18-05-09,-0.54
18-05-09,-2.28
18-05-09,-2.04
18-05-09,-0.06
18-05-09,-0.26
18-05-09,3.53
18-05-09,9.05
18-05-09,8.45
18-05-09,6.8
18-05-09,17.83
18-05-09,0
18-05-09,0
18-05-09,0.49
18-05-09,3.34
18-05-09,21.63
18-05-09,31
18-05-09,12.42
18-05-09,20.91
18-05-09,5.96
18-05-09,2.45
18-05-09,0
18-05-09,-0.81
18-05-09,-3.33
